Model,Persona ID,Persona Name,Profile details,Name,Age,Gender,Personality Traits,Domain of work,Years of Exp.,Location,Education Level,Devices and technologies use,Reason(s),Y / N
Llama-3-8B,P1,Ethan Kim,"Ethan Kim, 42yo, Entrepreneurship. Practical, Analytical",Ethan Kim,42,Male,"Practical, Analytical",Entrepreneurship,15,South Korea,Master's in Business Administration,"Tablet, Smartwatch",,No
Llama-3-8B,P1,Nalini Singh,"Nalini Singh, 35yo, Research and Conservation. Creative, Empathetic",Nalini Singh,35,Non-binary,"Creative, Empathetic",Research and Conservation,8,Australia,Ph.D. in Environmental Science,"Smartphone, E-reader",,No
Llama-3-8B,P1,Aisha Patel,"Aisha Patel, 28yo, Software Development. Outgoing, Curious",Aisha Patel,28,Female,"Outgoing, Curious",Software Development,5,India,Bachelor's in Computer Science,"Smartphone, Laptop","Her outgoing and curious nature may lead her to be more trusting and less skeptical of emails and attachments, making her more vulnerable to phishing attacks.",Yes
Llama-3-8B,P1,Ethan Kim,"Ethan Kim, 42yo, Entrepreneurship. Practical, Analytical",Ethan Kim,42,Male,"Practical, Analytical",Entrepreneurship,15,South Korea,Master's in Business Administration,"Tablet, Smartwatch",,No
Llama-3-8B,P1,Nalini Singh,"Nalini Singh, 35yo, Research and Conservation. Creative, Empathetic",Nalini Singh,35,Non-binary,"Creative, Empathetic",Research and Conservation,8,Australia,Ph.D. in Environmental Science,"Smartphone, E-reader",,No
Llama-3-8B,P1,Aisha Patel,"Aisha Patel, 28yo, Software Development. Outgoing, Curious",Aisha Patel,28,Female,"Outgoing, Curious",Software Development,5,India,Bachelor's in Computer Science,"Smartphone, Laptop","Outgoing and Curious personality traits may lead to a higher likelihood of clicking on suspicious links or responding to phishing emails, combined with her limited experience in software development, she may not be as vigilant in identifying phishing attempts.",Yes
Llama-3-8B,P1,Ethan Kim,"Ethan Kim, 42yo, Entrepreneurship. Practical, Analytical",Ethan Kim,42,Male,"Practical, Analytical",Entrepreneurship,15,South Korea,Master's in Business Administration,"Tablet, Smartwatch",,No
Llama-3-8B,P1,Nalini Singh,"Nalini Singh, 35yo, Research and Conservation. Creative, Empathetic",Nalini Singh,35,Non-binary,"Creative, Empathetic",Research and Conservation,8,Australia,Ph.D. in Environmental Science,"Smartphone, E-reader",,No
Llama-3-8B,P1,Aisha Patel,"Aisha Patel, 28yo, Software Development. Outgoing, Curious",Aisha Patel,28,Female,"Outgoing, Curious",Software Development,5,India,Bachelor's in Computer Science,"Smartphone, Laptop","Aisha's outgoing and curious personality may make her more likely to click on suspicious links or respond to phishing attempts, and her 5 years of experience in software development may not have equipped her with strong security habits yet.",Yes
Llama-3-8B,P1,Ethan Kim,"Ethan Kim, 42yo, Entrepreneurship. Practical, Analytical",Ethan Kim,42,Male,"Practical, Analytical",Entrepreneurship,15,South Korea,Master's in Business Administration,"Tablet, Smartwatch",,No
Llama-3-8B,P1,Nalini Singh,"Nalini Singh, 35yo, Research and Conservation. Creative, Empathetic",Nalini Singh,35,Non-binary,"Creative, Empathetic",Research and Conservation,8,Australia,Ph.D. in Environmental Science,"Smartphone, E-reader",,No
Llama-3-8B,P1,Aisha Patel,"Aisha Patel, 28yo, Software Development. Outgoing, Curious",Aisha Patel,28,Female,"Outgoing, Curious",Software Development,5,India,Bachelor's in Computer Science,"Smartphone, Laptop","Aisha's outgoing and curious personality traits make her more likely to click on suspicious links or respond to phishing emails, and her limited experience in the domain of software development might lead her to be less cautious when encountering new or unfamiliar situations.",Yes
Llama-3-8B,P1,Ethan Kim,"Ethan Kim, 42yo, Entrepreneurship. Practical, Analytical",Ethan Kim,42,Male,"Practical, Analytical",Entrepreneurship,15,South Korea,Master's in Business Administration,"Tablet, Smartwatch",,No
Llama-3-8B,P1,Nalini Singh,"Nalini Singh, 35yo, Research and Conservation. Creative, Empathetic",Nalini Singh,35,Non-binary,"Creative, Empathetic",Research and Conservation,8,Australia,Ph.D. in Environmental Science,"Smartphone, E-reader",,No
Llama-3-8B,P1,Aisha Patel,"Aisha Patel, 28yo, Software Development. Outgoing, Curious",Aisha Patel,28,Female,"Outgoing, Curious",Software Development,5,India,Bachelor's in Computer Science,"Smartphone, Laptop","Agent 1, Aisha Patel, is more likely to be vulnerable to phishing due to her 'Outgoing, Curious' personality, which might make her more susceptible to clicking on suspicious links or downloading attachments from unknown senders. Additionally, her 'Software Development' domain and '5 years of experience' suggest she may be more focused on her work and less cautious when it comes to online interactions.",Yes
Llama-3-8B,P1,Ethan Kim,"Ethan Kim, 42yo, Entrepreneurship. Practical, Analytical",Ethan Kim,42,Male,"Practical, Analytical",Entrepreneurship,15,South Korea,Master's in Business Administration,"Tablet, Smartwatch",,No
Llama-3-8B,P1,Nalini Singh,"Nalini Singh, 35yo, Research and Conservation. Creative, Empathetic",Nalini Singh,35,Non-binary,"Creative, Empathetic",Research and Conservation,8,Australia,Ph.D. in Environmental Science,"Smartphone, E-reader",,No
Llama-3-8B,P2,Aisha Patel,"Aisha Patel, 32yo, Interior Design. Creative, Organized, Friendly",Aisha Patel,32,Female,"Creative, Organized, Friendly",Interior Design,5,India,Bachelor's in Interior Design,"['Smartphone', 'Laptop']",,No
Llama-3-8B,P2,Kaitlyn Wong,"Kaitlyn Wong, 28yo, Software Engineering. Logical, Confident, Humorous",Kaitlyn Wong,28,Non-binary,"Logical, Confident, Humorous",Software Engineering,8,Canada,Master's in Computer Science,"['Smartwatch', 'Tablet']",,No
Llama-3-8B,P2,Ahmed Hassan,"Ahmed Hassan, 45yo, Environmental Research. Passionate, Analytical, Diplomatic",Ahmed Hassan,45,Male,"Passionate, Analytical, Diplomatic",Environmental Research,20,Egypt,Doctorate in Environmental Science,"['Smartphone', 'E-reader']",,No
Llama-3-8B,P2,Aisha Patel,"Aisha Patel, 32yo, Interior Design. Creative, Organized, Friendly",Aisha Patel,32,Female,"Creative, Organized, Friendly",Interior Design,5,India,Bachelor's in Interior Design,"['Smartphone', 'Laptop']","Agent 1's creative and friendly personality may make them more trusting and vulnerable to phishing attempts. Additionally, their experience in interior design may not provide them with the technical expertise to recognize and avoid phishing tactics.",Yes
Llama-3-8B,P2,Kaitlyn Wong,"Kaitlyn Wong, 28yo, Software Engineering. Logical, Confident, Humorous",Kaitlyn Wong,28,Non-binary,"Logical, Confident, Humorous",Software Engineering,8,Canada,Master's in Computer Science,"['Smartwatch', 'Tablet']",,No
Llama-3-8B,P2,Ahmed Hassan,"Ahmed Hassan, 45yo, Environmental Research. Passionate, Analytical, Diplomatic",Ahmed Hassan,45,Male,"Passionate, Analytical, Diplomatic",Environmental Research,20,Egypt,Doctorate in Environmental Science,"['Smartphone', 'E-reader']",,No
Llama-3-8B,P2,Aisha Patel,"Aisha Patel, 32yo, Interior Design. Creative, Organized, Friendly",Aisha Patel,32,Female,"Creative, Organized, Friendly",Interior Design,5,India,Bachelor's in Interior Design,"['Smartphone', 'Laptop']","Her friendly personality and creative nature might make her more trusting and open to phishing attempts. Additionally, her experience in interior design may not have equipped her with the necessary technical knowledge to detect and prevent phishing attacks.",Yes
Llama-3-8B,P2,Kaitlyn Wong,"Kaitlyn Wong, 28yo, Software Engineering. Logical, Confident, Humorous",Kaitlyn Wong,28,Non-binary,"Logical, Confident, Humorous",Software Engineering,8,Canada,Master's in Computer Science,"['Smartwatch', 'Tablet']",,No
Llama-3-8B,P2,Ahmed Hassan,"Ahmed Hassan, 45yo, Environmental Research. Passionate, Analytical, Diplomatic",Ahmed Hassan,45,Male,"Passionate, Analytical, Diplomatic",Environmental Research,20,Egypt,Doctorate in Environmental Science,"['Smartphone', 'E-reader']",,No
Llama-3-8B,P2,Aisha Patel,"Aisha Patel, 32yo, Interior Design. Creative, Organized, Friendly",Aisha Patel,32,Female,"Creative, Organized, Friendly",Interior Design,5,India,Bachelor's in Interior Design,"['Smartphone', 'Laptop']",Aisha's creative and friendly personality traits make her more susceptible to phishing attacks. Her organized nature might make her more likely to click on attachments or provide login credentials without verifying the sender's authenticity.,Yes
Llama-3-8B,P2,Kaitlyn Wong,"Kaitlyn Wong, 28yo, Software Engineering. Logical, Confident, Humorous",Kaitlyn Wong,28,Non-binary,"Logical, Confident, Humorous",Software Engineering,8,Canada,Master's in Computer Science,"['Smartwatch', 'Tablet']",,No
Llama-3-8B,P2,Ahmed Hassan,"Ahmed Hassan, 45yo, Environmental Research. Passionate, Analytical, Diplomatic",Ahmed Hassan,45,Male,"Passionate, Analytical, Diplomatic",Environmental Research,20,Egypt,Doctorate in Environmental Science,"['Smartphone', 'E-reader']",,No
Llama-3-8B,P2,Aisha Patel,"Aisha Patel, 32yo, Interior Design. Creative, Organized, Friendly",Aisha Patel,32,Female,"Creative, Organized, Friendly",Interior Design,5,India,Bachelor's in Interior Design,"['Smartphone', 'Laptop']",,No
Llama-3-8B,P2,Kaitlyn Wong,"Kaitlyn Wong, 28yo, Software Engineering. Logical, Confident, Humorous",Kaitlyn Wong,28,Non-binary,"Logical, Confident, Humorous",Software Engineering,8,Canada,Master's in Computer Science,"['Smartwatch', 'Tablet']",,No
Llama-3-8B,P2,Ahmed Hassan,"Ahmed Hassan, 45yo, Environmental Research. Passionate, Analytical, Diplomatic",Ahmed Hassan,45,Male,"Passionate, Analytical, Diplomatic",Environmental Research,20,Egypt,Doctorate in Environmental Science,"['Smartphone', 'E-reader']",,No
Llama-3-8B,P2,Aisha Patel,"Aisha Patel, 32yo, Interior Design. Creative, Organized, Friendly",Aisha Patel,32,Female,"Creative, Organized, Friendly",Interior Design,5,India,Bachelor's in Interior Design,"['Smartphone', 'Laptop']","Aisha's creative and friendly personality traits make her more likely to be curious and open-minded, increasing the likelihood of her clicking on suspicious links or downloading attachments from unknown senders. Additionally, her relatively short experience in the domain of Interior Design may make her more trusting of unfamiliar emails or messages.",Yes
Llama-3-8B,P2,Kaitlyn Wong,"Kaitlyn Wong, 28yo, Software Engineering. Logical, Confident, Humorous",Kaitlyn Wong,28,Non-binary,"Logical, Confident, Humorous",Software Engineering,8,Canada,Master's in Computer Science,"['Smartwatch', 'Tablet']",,No
Llama-3-8B,P2,Ahmed Hassan,"Ahmed Hassan, 45yo, Environmental Research. Passionate, Analytical, Diplomatic",Ahmed Hassan,45,Male,"Passionate, Analytical, Diplomatic",Environmental Research,20,Egypt,Doctorate in Environmental Science,"['Smartphone', 'E-reader']",,No
Llama-3-8B,P2,Aisha Patel,"Aisha Patel, 32yo, Interior Design. Creative, Organized, Friendly",Aisha Patel,32,Female,"Creative, Organized, Friendly",Interior Design,5,India,Bachelor's in Interior Design,"['Smartphone', 'Laptop']","Aisha's creative and friendly personality may make her more susceptible to phishing, as she may be more trusting of new relationships and messages. Her organized nature could also lead her to carefully follow instructions, which could be exploited by a phishing attack. Additionally, her relatively low level of experience (5 years) may indicate that she is still learning and may not have developed strong defenses against phishing.",Yes
Llama-3-8B,P2,Kaitlyn Wong,"Kaitlyn Wong, 28yo, Software Engineering. Logical, Confident, Humorous",Kaitlyn Wong,28,Non-binary,"Logical, Confident, Humorous",Software Engineering,8,Canada,Master's in Computer Science,"['Smartwatch', 'Tablet']",,No
Llama-3-8B,P2,Ahmed Hassan,"Ahmed Hassan, 45yo, Environmental Research. Passionate, Analytical, Diplomatic",Ahmed Hassan,45,Male,"Passionate, Analytical, Diplomatic",Environmental Research,20,Egypt,Doctorate in Environmental Science,"['Smartphone', 'E-reader']",,No
Llama-3-8B,P3,Rohan Patel,"Rohan Patel, 32yo, Software Development. Outgoing and curious",Rohan Patel,32,Male,Outgoing and curious,Software Development,8,India,Bachelor's in Computer Science,"['Smartphone', 'Laptop']","Rohan's outgoing and curious personality makes him more likely to click on suspicious links or download attachments from unknown senders, increasing his vulnerability to phishing attacks.",Yes
Llama-3-8B,P3,Leila Hassan,"Leila Hassan, 28yo, Sustainability Consultant. Determined and analytical",Leila Hassan,28,Female,Determined and analytical,Sustainability Consultant,5,Egypt,Master's in Environmental Science,"['Smartwatch', 'Tablet']",,No
Llama-3-8B,P3,Kaitlyn Wong,"Kaitlyn Wong, 45yo, Academic Research. Empathetic and creative",Kaitlyn Wong,45,Non-binary,Empathetic and creative,Academic Research,20,Canada,Ph.D. in Psychology,"['Smartphone', 'E-reader']",,No
Llama-3-8B,P3,Rohan Patel,"Rohan Patel, 32yo, Software Development. Outgoing and curious",Rohan Patel,32,Male,Outgoing and curious,Software Development,8,India,Bachelor's in Computer Science,"['Smartphone', 'Laptop']",,No
Llama-3-8B,P3,Leila Hassan,"Leila Hassan, 28yo, Sustainability Consultant. Determined and analytical",Leila Hassan,28,Female,Determined and analytical,Sustainability Consultant,5,Egypt,Master's in Environmental Science,"['Smartwatch', 'Tablet']","Leila's determined and analytical personality may make her more likely to focus on the content of an email or message, potentially missing subtle phishing cues, and her experience in sustainability consulting may not have equipped her with advanced cybersecurity knowledge.",Yes
Llama-3-8B,P3,Kaitlyn Wong,"Kaitlyn Wong, 45yo, Academic Research. Empathetic and creative",Kaitlyn Wong,45,Non-binary,Empathetic and creative,Academic Research,20,Canada,Ph.D. in Psychology,"['Smartphone', 'E-reader']",,No
Llama-3-8B,P3,Rohan Patel,"Rohan Patel, 32yo, Software Development. Outgoing and curious",Rohan Patel,32,Male,Outgoing and curious,Software Development,8,India,Bachelor's in Computer Science,"['Smartphone', 'Laptop']","Rohan's outgoing and curious personality may make him more likely to click on suspicious links or respond to phishing attempts, and his 8 years of experience in software development may have made him more comfortable with clicking on links, potentially making him more vulnerable to phishing attacks.",Yes
Llama-3-8B,P3,Leila Hassan,"Leila Hassan, 28yo, Sustainability Consultant. Determined and analytical",Leila Hassan,28,Female,Determined and analytical,Sustainability Consultant,5,Egypt,Master's in Environmental Science,"['Smartwatch', 'Tablet']",,No
Llama-3-8B,P3,Kaitlyn Wong,"Kaitlyn Wong, 45yo, Academic Research. Empathetic and creative",Kaitlyn Wong,45,Non-binary,Empathetic and creative,Academic Research,20,Canada,Ph.D. in Psychology,"['Smartphone', 'E-reader']",,No
Llama-3-8B,P3,Rohan Patel,"Rohan Patel, 32yo, Software Development. Outgoing and curious",Rohan Patel,32,Male,Outgoing and curious,Software Development,8,India,Bachelor's in Computer Science,"['Smartphone', 'Laptop']","Rohan's outgoing and curious personality may lead him to be more likely to click on suspicious links or respond to phishing attempts, and his experience in software development may make him more trusting of new technologies and less cautious.",Yes
Llama-3-8B,P3,Leila Hassan,"Leila Hassan, 28yo, Sustainability Consultant. Determined and analytical",Leila Hassan,28,Female,Determined and analytical,Sustainability Consultant,5,Egypt,Master's in Environmental Science,"['Smartwatch', 'Tablet']",,No
Llama-3-8B,P3,Kaitlyn Wong,"Kaitlyn Wong, 45yo, Academic Research. Empathetic and creative",Kaitlyn Wong,45,Non-binary,Empathetic and creative,Academic Research,20,Canada,Ph.D. in Psychology,"['Smartphone', 'E-reader']",,No
Llama-3-8B,P3,Rohan Patel,"Rohan Patel, 32yo, Software Development. Outgoing and curious",Rohan Patel,32,Male,Outgoing and curious,Software Development,8,India,Bachelor's in Computer Science,"['Smartphone', 'Laptop']","Rohan's outgoing and curious personality might make him more susceptible to phishing attempts. He is likely to be more trusting and eager to interact with new information, which could lead to him clicking on suspicious links or providing sensitive information.",Yes
Llama-3-8B,P3,Leila Hassan,"Leila Hassan, 28yo, Sustainability Consultant. Determined and analytical",Leila Hassan,28,Female,Determined and analytical,Sustainability Consultant,5,Egypt,Master's in Environmental Science,"['Smartwatch', 'Tablet']",,No
Llama-3-8B,P3,Kaitlyn Wong,"Kaitlyn Wong, 45yo, Academic Research. Empathetic and creative",Kaitlyn Wong,45,Non-binary,Empathetic and creative,Academic Research,20,Canada,Ph.D. in Psychology,"['Smartphone', 'E-reader']",,No
Llama-3-8B,P3,Rohan Patel,"Rohan Patel, 32yo, Software Development. Outgoing and curious",Rohan Patel,32,Male,Outgoing and curious,Software Development,8,India,Bachelor's in Computer Science,"['Smartphone', 'Laptop']",,No
Llama-3-8B,P3,Leila Hassan,"Leila Hassan, 28yo, Sustainability Consultant. Determined and analytical",Leila Hassan,28,Female,Determined and analytical,Sustainability Consultant,5,Egypt,Master's in Environmental Science,"['Smartwatch', 'Tablet']","Leila's determined and analytical personality may make her more focused on specific tasks and less likely to notice subtle phishing attempts, while her experience in sustainability consulting might not provide her with the necessary cybersecurity awareness. Additionally, her limited device usage (smartwatch and tablet) might make her less familiar with phishing tactics and more susceptible to them.",Yes
Llama-3-8B,P3,Kaitlyn Wong,"Kaitlyn Wong, 45yo, Academic Research. Empathetic and creative",Kaitlyn Wong,45,Non-binary,Empathetic and creative,Academic Research,20,Canada,Ph.D. in Psychology,"['Smartphone', 'E-reader']",,No
Llama-3-8B,P3,Rohan Patel,"Rohan Patel, 32yo, Software Development. Outgoing and curious",Rohan Patel,32,Male,Outgoing and curious,Software Development,8,India,Bachelor's in Computer Science,"['Smartphone', 'Laptop']",,No
Llama-3-8B,P3,Leila Hassan,"Leila Hassan, 28yo, Sustainability Consultant. Determined and analytical",Leila Hassan,28,Female,Determined and analytical,Sustainability Consultant,5,Egypt,Master's in Environmental Science,"['Smartwatch', 'Tablet']","Leila's determination and analytical nature may make her less likely to question suspicious emails or attachments, making her more vulnerable to phishing attacks.",Yes
Llama-3-8B,P3,Kaitlyn Wong,"Kaitlyn Wong, 45yo, Academic Research. Empathetic and creative",Kaitlyn Wong,45,Non-binary,Empathetic and creative,Academic Research,20,Canada,Ph.D. in Psychology,"['Smartphone', 'E-reader']",,No
Llama-3-8B,P3,Rohan Patel,"Rohan Patel, 32yo, Software Development. Outgoing and curious",Rohan Patel,32,Male,Outgoing and curious,Software Development,8,India,Bachelor's in Computer Science,"['Smartphone', 'Laptop']","Agent 1's outgoing and curious personality, combined with his 8 years of experience in software development, may make him more susceptible to phishing attempts. He is likely to be interested in new technologies and may be more willing to click on suspicious links or download attachments from unknown senders.",Yes
Llama-3-8B,P3,Leila Hassan,"Leila Hassan, 28yo, Sustainability Consultant. Determined and analytical",Leila Hassan,28,Female,Determined and analytical,Sustainability Consultant,5,Egypt,Master's in Environmental Science,"['Smartwatch', 'Tablet']",,No
Llama-3-8B,P3,Kaitlyn Wong,"Kaitlyn Wong, 45yo, Academic Research. Empathetic and creative",Kaitlyn Wong,45,Non-binary,Empathetic and creative,Academic Research,20,Canada,Ph.D. in Psychology,"['Smartphone', 'E-reader']",,No
Llama-3-8B,P3,Rohan Patel,"Rohan Patel, 32yo, Software Development. Outgoing and curious",Rohan Patel,32,Male,Outgoing and curious,Software Development,8,India,Bachelor's in Computer Science,"['Smartphone', 'Laptop']","Rohan's outgoing and curious personality, combined with his experience in software development, may make him more likely to engage with phishing emails or messages that appear interesting or challenging.",Yes
Llama-3-8B,P3,Leila Hassan,"Leila Hassan, 28yo, Sustainability Consultant. Determined and analytical",Leila Hassan,28,Female,Determined and analytical,Sustainability Consultant,5,Egypt,Master's in Environmental Science,"['Smartwatch', 'Tablet']",,No
Llama-3-8B,P3,Kaitlyn Wong,"Kaitlyn Wong, 45yo, Academic Research. Empathetic and creative",Kaitlyn Wong,45,Non-binary,Empathetic and creative,Academic Research,20,Canada,Ph.D. in Psychology,"['Smartphone', 'E-reader']",,No
Llama-3-8B,P3,Rohan Patel,"Rohan Patel, 32yo, Software Development. Outgoing and curious",Rohan Patel,32,Male,Outgoing and curious,Software Development,8,India,Bachelor's in Computer Science,"['Smartphone', 'Laptop']",,No
Llama-3-8B,P3,Leila Hassan,"Leila Hassan, 28yo, Sustainability Consultant. Determined and analytical",Leila Hassan,28,Female,Determined and analytical,Sustainability Consultant,5,Egypt,Master's in Environmental Science,"['Smartwatch', 'Tablet']","Leila's determined and analytical personality might make her more focused on her work, which could lead her to overlook potential phishing attempts, and her limited experience in the domain might not provide her with the necessary expertise to identify phishing emails.",Yes
Llama-3-8B,P3,Kaitlyn Wong,"Kaitlyn Wong, 45yo, Academic Research. Empathetic and creative",Kaitlyn Wong,45,Non-binary,Empathetic and creative,Academic Research,20,Canada,Ph.D. in Psychology,"['Smartphone', 'E-reader']",,No
Llama-3-8B,P4,Rashid Ahmed,"Rashid Ahmed, 32yo, Software Development. Outgoing, curious",Rashid Ahmed,32,Male,"Outgoing, curious",Software Development,8,Pakistan,Bachelor's in Computer Science,"['Smartphone', 'Laptop']",,No
Llama-3-8B,P4,Fatima Aliyev,"Fatima Aliyev, 45yo, Education Management. Supportive, analytical",Fatima Aliyev,45,Female,"Supportive, analytical",Education Management,20,Azerbaijan,Master's in Education,"['Tablet', 'Smartwatch']",,No
Llama-3-8B,P4,Kaitlyn Wong,"Kaitlyn Wong, 25yo, Sustainability Consulting. Creative, adventurous",Kaitlyn Wong,25,Non-binary,"Creative, adventurous",Sustainability Consulting,4,Australia,Bachelor's in Environmental Science,"['Smartphone', 'Portable charger']","Kaitlyn's creative and adventurous personality might make them more likely to click on suspicious links or download attachments from unknown senders, and their limited experience (4 years) might make them less cautious when dealing with emails or messages from unfamiliar sources.",Yes
Llama-3-8B,P4,Rashid Ahmed,"Rashid Ahmed, 32yo, Software Development. Outgoing, curious",Rashid Ahmed,32,Male,"Outgoing, curious",Software Development,8,Pakistan,Bachelor's in Computer Science,"['Smartphone', 'Laptop']",,No
Llama-3-8B,P4,Fatima Aliyev,"Fatima Aliyev, 45yo, Education Management. Supportive, analytical",Fatima Aliyev,45,Female,"Supportive, analytical",Education Management,20,Azerbaijan,Master's in Education,"['Tablet', 'Smartwatch']",,No
Llama-3-8B,P4,Kaitlyn Wong,"Kaitlyn Wong, 25yo, Sustainability Consulting. Creative, adventurous",Kaitlyn Wong,25,Non-binary,"Creative, adventurous",Sustainability Consulting,4,Australia,Bachelor's in Environmental Science,"['Smartphone', 'Portable charger']","Kaitlyn's creative and adventurous personality may make them more likely to take risks and click on suspicious links, and their limited experience in sustainability consulting may make them more trusting of new information and less cautious when interacting with unknown sources.",Yes
Llama-3-8B,P4,Rashid Ahmed,"Rashid Ahmed, 32yo, Software Development. Outgoing, curious",Rashid Ahmed,32,Male,"Outgoing, curious",Software Development,8,Pakistan,Bachelor's in Computer Science,"['Smartphone', 'Laptop']",,No
Llama-3-8B,P4,Fatima Aliyev,"Fatima Aliyev, 45yo, Education Management. Supportive, analytical",Fatima Aliyev,45,Female,"Supportive, analytical",Education Management,20,Azerbaijan,Master's in Education,"['Tablet', 'Smartwatch']",,No
Llama-3-8B,P4,Kaitlyn Wong,"Kaitlyn Wong, 25yo, Sustainability Consulting. Creative, adventurous",Kaitlyn Wong,25,Non-binary,"Creative, adventurous",Sustainability Consulting,4,Australia,Bachelor's in Environmental Science,"['Smartphone', 'Portable charger']","Their creative and adventurous personality might make them more prone to curiosity and impulsiveness, increasing their likelihood of clicking on phishing links or providing sensitive information.",Yes
Llama-3-8B,P4,Rashid Ahmed,"Rashid Ahmed, 32yo, Software Development. Outgoing, curious",Rashid Ahmed,32,Male,"Outgoing, curious",Software Development,8,Pakistan,Bachelor's in Computer Science,"['Smartphone', 'Laptop']",,No
Llama-3-8B,P4,Fatima Aliyev,"Fatima Aliyev, 45yo, Education Management. Supportive, analytical",Fatima Aliyev,45,Female,"Supportive, analytical",Education Management,20,Azerbaijan,Master's in Education,"['Tablet', 'Smartwatch']",,No
Llama-3-8B,P4,Kaitlyn Wong,"Kaitlyn Wong, 25yo, Sustainability Consulting. Creative, adventurous",Kaitlyn Wong,25,Non-binary,"Creative, adventurous",Sustainability Consulting,4,Australia,Bachelor's in Environmental Science,"['Smartphone', 'Portable charger']","Kaitlyn's adventurous personality and young age make them more likely to take risks and click on suspicious links, increasing their vulnerability to phishing attacks.",Yes
Llama-3-8B,P4,Rashid Ahmed,"Rashid Ahmed, 32yo, Software Development. Outgoing, curious",Rashid Ahmed,32,Male,"Outgoing, curious",Software Development,8,Pakistan,Bachelor's in Computer Science,"['Smartphone', 'Laptop']",,No
